Row_ID,Order_ID,Order_Date,Segment,Region,Product_Name,Sales,Profit,Category,Sub-Category
73,CA-2026-674713,13/01/2026,Home Office,East,"Computer Desk Chair Ergonomic Office Home Lumbar Support with Mesh Headrest
Opens in a new window or tab",54.99,10.9,Furniture,Chairs
74,CA-2026-148606,19/12/2025,Corporate,South,"PC Gaming Chair Massage Office Chair Ergonomic Desk Chair Adjustable PU Leather
Opens in a new window or tab",120.0,23.41,Furniture,Chairs
75,CA-2026-105195,09/11/2025,Consumer,Central,"Ergonomic Office Chair High Back Computer Chair with Adjustable Lumbar Support
Opens in a new window or tab",96.99,15.51,Furniture,Chairs
76,CA-2026-877765,21/06/2025,Home Office,East,"Home Office Chair Desk Computer Chair Adjustable Ergonomic with Lumbar Support
Opens in a new window or tab",79.99,13.08,Furniture,Chairs
77,CA-2026-566339,12/07/2025,Consumer,Central,"MIMOGLAD OFFICE CHAIR ERGONOMIC DESK CHAIR LUMBAR SUPPORT OC-5188 - WHITE
Opens in a new window or tab",89.65,13.19,Furniture,Chairs
78,CA-2026-234625,02/12/2025,Corporate,South,"Office Chair Mid Back Home Office Desk Task Chair with Wheels and Arms Ergonomic
Opens in a new window or tab",134.0,22.36,Furniture,Chairs
79,CA-2026-454402,11/09/2025,Corporate,West,"Ergonomic High Back Mesh Office Chair M903, Adjustable Lumbar Support, White
Opens in a new window or tab",192.48,23.94,Furniture,Chairs
81,CA-2026-945711,26/08/2025,Corporate,East,"Ergonomic Mesh Office Chair Adjustable Lumbar Support Headrest Footrest New
Opens in a new window or tab",174.37,29.99,Furniture,Chairs
82,CA-2026-893362,07/04/2025,Corporate,South,"Ergonomic Mesh Office Chair – Adjustable Lumbar Support – White/Black
Opens in a new window or tab",129.95,27.1,Furniture,Chairs
83,CA-2026-559893,28/08/2025,Corporate,East,"Staples Hyken Ergonomic Mesh Swivel Task Chair, Maroon (ST63138)
Opens in a new window or tab",65.0,8.22,Furniture,Chairs
84,CA-2026-455377,17/06/2025,Corporate,East,"Ergonomic Office Chair With Lumbar Support, Adjustable Height/Support 350lbs
Opens in a new window or tab",100.0,21.22,Furniture,Chairs
85,CA-2026-823816,25/11/2025,Corporate,South,"Office Chair Ergonomic mid-back mesh. Wheels, swivel Height adj. For home office
Opens in a new window or tab",59.99,10.13,Furniture,Chairs
86,CA-2026-973999,30/10/2025,Consumer,South,"NEXHUT ERGONOMIC OFFICE CHAIR MESH DESK CHAIR WITH FOOTREST NH1180 - BLACK
Opens in a new window or tab",192.71,40.91,Furniture,Chairs
87,CA-2026-849879,19/05/2025,Corporate,South,"Ergonomic Home Office Desk Chair Comfortable Leather Computer Chairs for Bedroom
Opens in a new window or tab",119.99,17.29,Furniture,Chairs
88,CA-2026-744980,06/10/2025,Consumer,South,"Drafting Chair Tall Office Chair Ergonomic Desk Chairs with WR189-Z Black
Opens in a new window or tab",96.75,11.89,Furniture,Chairs
89,CA-2026-725025,16/05/2025,Home Office,East,"Home Office Chair Ergonomic Desk Chair PU Leather Task Chair Rolling Swivel
Opens in a new window or tab",99.99,15.16,Furniture,Chairs
90,CA-2026-548464,03/12/2025,Corporate,South,"Home Office Chair Ergonomic Desk Chair Mesh Computer Chair with Lumbar Support
Opens in a new window or tab",58.77,10.41,Furniture,Chairs
91,CA-2026-424522,05/12/2025,Consumer,South,"Ergonomic Office Chair Rotation Base Assembly Metal Reinforcement Stable Lift
Opens in a new window or tab",50.52,6.61,Furniture,Chairs
92,CA-2026-602610,13/08/2025,Home Office,South,"Mind Reader Ergonomic Mesh Mid-Back Swivel Executive Office Chair, Black
Opens in a new window or tab",70.0,11.55,Furniture,Chairs
93,CA-2026-963013,11/12/2025,Home Office,Central,"White Computer Desk Chair Ergonomic Office Chair with Wheels Flip-Up Armrests
Opens in a new window or tab",87.41,18.35,Furniture,Chairs
94,CA-2026-572472,07/12/2025,Consumer,Central,"Black Ergonomic Mesh Home Office Desk Chair High Back Adjustable Headrest
Opens in a new window or tab",124.99,25.91,Furniture,Chairs
95,CA-2026-246746,02/05/2025,Corporate,Central,"Ergonomic Swivel Mesh Office Desk Chair With Arms
Opens in a new window or tab",65.0,10.86,Furniture,Chairs
96,CA-2026-856491,10/12/2025,Home Office,South,"Ergonomic Gaming Chair | High Back, Flip-up Armrest, Wheeled, Height Adjustable
Opens in a new window or tab",189.99,40.09,Furniture,Chairs
