Product_Name,Sales,Hash
"Workspace by Alera L-Shaped Farmhouse Desk, 58.27"" x 58.27"" x 29.53"", White",111.01,a9828ed0ea4c9e2e4ed3a143f92ede6975fecc957d8f4ba3757a5e3b875c2f35
"Office Depot Elle Décor Dani 47"" W Writing Desk, Old World Rustic Pine/Dusk Gray",94.94,81fb6e7ea8f5b97f074f5468fbdbd6b5f8bb8c0c236680aca84f79e0a0379506
"HUANUO FlowLift™ Dual Monitor Stand, Fully Adjustable Gaming Monitor Desk Mount for 13–32″ Computer Screens, Full Motion VESA 75x75/100x100 with C-Clamp & Grommet Base, Each Arm Holds 4.4 to 19.8 lbs",64.99,35d4b955b43c564615dd4f20ab1c95cc3711078ce45e6337df16e721b1b3bbac
Acme Brancaster 1-Drawer Industrial Writing Desk in Aluminum,1873.81,f4cf95f1e57b43cd63f4bbb865a688f5476c6a06e31dadd685a14b3f8d761fbf
"Convenience Concepts Designs2Go No Tools Desk Home Office Desk with Shelves, Corner Shelf Vanity Desk Computer Desk Nail Table for Nail Tech - 47.25"" L x 15.75"" W x 30"" H, White Faux Marble",75.64,b504bb15f90336729e6e8ee8805028e81575e7dea4704c1a1a4abbe63dd70989
"Sauder® Summit Station 66""W Executive Computer Desk, Raven Oak",449.99,4ea4dc62bedfd85aec12f3e47860b2a9c0a5ea379f29ef304a83f3fa5f699a15
"Children's Factory Edutray Desk Attachment for Cube Chair – Toddler Study Surface for Homeschool, Classroom, Space-Saving, Durable, Easy-Clean Plastic",97.83,2f8502d59ec5b1ef6dd5dc7c4fd7eff8f0f48985dd756206bc79692f1cc69f4a
Bush Business Furniture Echo 60W Credenza Desk in Pure White,293.80,3ef53e7e1266da618be5e079b10908b9315f150c1da4fd89fe53e1fb23d5ea9e
Northfield Entryway Hall Console Table/Desk,68.39,709d3785399923f66475a965844a9ef4c0ccbea5aeaae5b7486cc3475f7cdb5e
"Bestier 59” Computer Desk with 4 Drawers, Office Desk with Storage, Industrial Executive Desk with File Drawer, Keyboard Tray & 2 Pedestals on Both Sides for Home Office & Studio, Grey",249.99,a7be078d0e7579746e49d22aeb445a2c6bbdb468e261097b80be123625728df4
"Realspace® Magellan 59""W L-Shape Corner Computer Desk, Espresso",259.99,0a773870b2440ea0afbf928bfcd0dc84d94a03e18c07d2022a985f86dc8474c3
"Monarch Specialties Computer Writing Desk for Home & Office Laptop Table with Drawers Open Shelf and File Cabinet-Left or Right Set Up, 60"" L, Dark Taupe",273.59,4ff9b96655e0427ac88cd302a0f65c5f5797885607f6f89649800dedb27e506f
"Realspace® Vista 48"" W Glass Computer Desk, Silver",259.89,220f80e01e45fc1f5313b5b7977e2851f637ee468fce8ff1ce6d7e0069dfebe2
"Bush Business Furniture 72-inch Height Adjustable L Shaped Standing Desk, Electric Sit-Stand Corner Computer Table, Ergonomic Office, Move 60 Series, Storm Gray with Black Base",887.01,ef138628c7fd5f8590b48e13c5dbb1bd36bf594805fa60b18e93756dd2798dbf
"Sauder North Avenue L-Shaped Desk, Smoked Oak Finish",49.07,103e315f4ae730ed7f19c10efff591a50c2d94a1b9bf4d3e39be27a585809b36
NEO Chair Office Desk Chair Computer High Back Mesh Gaming Seat with Ergonomic Adjustable Comfy Flip-up Armrests Lumbar Support Height for Home (Black),54.99,9ab56af292876568d01d058c81ec8426141b34afaf0b596f2f60fe5a8fc584dd
"Ergotron – WorkFit-TL Standing Desk Converter, Dual Monitor Sit Stand Desk Riser for Tabletops – 37.5 Inch Width, Black",370.99,ccf89a4a76732407480bd4a076e5de02351950ead24da8fc54fdcc79c9f6c8e7
"Convenience Concepts Desigsn2Go Office Workstation Desk 36"" - Modern, Contemporary Writing Accent with Storage Shelves for Dorm Room & Home Study, Charcoal Gray",97.22,1cb9a0f376287f1034f63cc74480362fbfc36e32bea0519afadee06770b6c8f3
"Monarch Specialties I 7720 Computer Desk, Home Office, Corner, Storage Shelves, 48"" L, L Shape, Work, Laptop, Laminate, Grey, Contemporary, Modern",217.61,fc3e4fd1c3ec83344e1a537d751b0489cbe99d893b079519c8855a02a5f809e4
"Global Industrial 60"" W x 30"" D x 30-1/2""H Steel Teacher's Desk, Gray Top with Black Frame, Double Pedestal Desk with Center Drawer, 4 Locking Box/Box Drawers",1042.83,67760b3b7ae26653e68457cf98eb683b9d098dc79627c954e6c9c052a58c140f
"Amazon Basics Breathable Mesh Mid-Back Office Desk Chair with Armrests, Lumbar Support, 360-Degree Swivel, Adjustable-Height, Black",60.21,bba932589fbeefe79af1db452e290212afd6ef6b2800fdc959d9e149cd3d8f41
"Workspace by Alera Farmhouse Writing Desk, 47.24"" x 23.62"" x 29.53"", White",83.37,a18531a2012c0107ef3bfbb8ed75159d5e4a08958dae5800064b56d301389345
"Realspace® Chase 47"" W Writing Desk, Coastal Gray",99.92,04622cafe1376dd9440da30827741248d21b6ba035f6452ac539d1883732df59
"Convenience Concepts SoHo 1 Drawer Glass 36 inch Desk, Gray Faux Marble/Glass",179.61,84a4c51bf3217abb467e40ae4e9f034227f98ab9bea0e8aa4b5b5e35b03c2084
"Monarch Specialties Computer Desk with Drawers - Contemporary Style - Home & Office Computer Desk with Metal Legs - 60""L (Taupe Reclaimed Wood Look)",305.53,06783a66fb69865233221cb83869a2f02a24eb8c38c620733796fb89a8d4825d
"Amazon Basics Classic Puresoft PU Padded Mid-Back Office Chair with Armrest, Height Adjustable, Easy to Assemble, 26""D x 23.75""W x 42""H, Cream",66.88,2d4726fab62f0e04f6fdb5208f36bdaa005415f10ca8645d4b25ecefb54d8a80
"Convenience Concepts Designs2Go Trestle Desk 47"" - Modern Desk or Vanity with Shelves, for Office, Dorm, Living Room, Cappuccino",168.56,ca3d832d5a05b8f5a116c10530bd59a1b24fd5631d357c007ae6537fec17f6f1
"Office Star Resin Multipurpose Rectangle Table, 4-Feet Long, Height Adjustable, Center Folding Table, Light Gray",69.61,74110d51f41ebec1c6a804a1375b994669ee0a38730446afd295d7f9bc2f0569
"ELABEST X100 Ergonomic Mesh Office Chair with Footrest, Big and Tall Hone Desk Chair with 5D Flip-Up Arms, Adjustable 3D Lumbar Support,Gaming & Executive Computer Chairs",295.98,7e04c6d1298b65da663523560649c0355326cbf194d09e8345d45bc90e77234c
"Convenience Concepts Designs2Go No Tools Student Desk 47.25"" - Contemporary Office, Dorm Room Desk and Vanity with Storage Shelves, Pink",135.55,24b515d5b93931bf277967502ad3fd43d54246665312bc8d72d71d1a111285d7
"BONTEC Mobile Standing Desk Adjustable Height, Rolling Laptop Cart with Storage Shelf, Hooks, Portable Workstation with Pneumatic Lift, Ergonomic Compact Home Office Desk, White 23.6"" x 20.5""",99.99,273d07dcaef2bf336766317e74b0fb424ff2666f63ba2856de61c2daff2b25e8
"Koonie USB Desk Fan, Strong Wind Ultra Quiet Small Personal Fan with 180° Tilt Folding and 3 Speeds Adjustable, USB-C Corded Powered Mini USB Fan for Office Desktop Bedroom, NO BATTERY",7.28,78a57c9aa5b86ef4e1432b6a4a44eb0c466b991ae5fd09f003d51789b841c49a
Modway Hudson Burl Wood Desk with Drawers in Natural - Modern Writing Desk - Narrow Home Office Desk - Vanity Table Without Mirror,190.89,6eebb3dcfd78e5694cceec193b355383c0dad23538bae6f8bc445f0576003d18
"Convenience Concepts Designs2Go No Tools Student Desk with Charging Station and Shelves, White Marble",90.99,3416bccf5189ad1678e9c8cc1a3b5f488fadb50e6337404902e84c3928c165b0
"Flash Furniture Whitney Mid-Back Swivel LeatherSoft Desk Chair with Wheels, Padded Seat and Armrests, Adjustable Height Padded Office Chair, Black",117.51,91caf68df2f3e2c6d644948043146bf33972f7dc6488afe427ac2b4ecedae98d
"HON MOD L Shaped Desk Return Shell, Executive Corner Computer Desk for Home Office, Gaming, Durable Workstation, Walnut",179.52,ea12047d813ac47f95b01d174f4d35607c6fa70aca303fa3f5fa790b6dec9883
Acme Tennos Rectangular Metal Frame Writing Desk in White and Chrome,129.38,15be827f4fea7830605b7ab7761f7bb9e7321b12e671bde5e3c4e824ea0aeec2
